Estimate summary,,,,,,,,
Upfront cost,Monthly cost,Total 12 months cost,Currency,,,,,
0,5777.54,69330.48,USD,,,,,
,,* Includes upfront cost,,,,,,
,,,,,,,,
,,,,,,,,
Detailed Estimate,,,,,,,,
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Web Servers,Amazon EC2,0,601.68,7220.16,USD,"Operating system (Linux), Quantity (2), Pricing strategy (On-Demand Instances), Storage amount (30 GB), Instance type (a1.4xlarge)"
My Estimate,US East (N. Virginia),App Servers,Amazon EC2,0,398.45,4781.4,USD,"Operating system (Linux), Quantity (2), Pricing strategy (On-Demand Instances), Storage amount (30 GB), Instance type (t4g.2xlarge)"
My Estimate,US East (N. Virginia),CDN,Amazon CloudFront,0,327.56,3930.72,USD,"Number of requests (HTTPS) (5000000 per month), Data transfer out to internet (3 TB per month), Data transfer out to origin (3 TB per month)"
My Estimate,US East (N. Virginia),Static data for web site,S3 Standard,0,100.42,1205.04,USD,S3 Standard storage (3 TB per month)
My Estimate,US East (N. Virginia),Static data for web site,Data Transfer,0,0,0,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Amazon CloudFront (3 TB per month)"
My Estimate,US East (N. Virginia),VPC,VPN Connection,0,0,0,USD,"Working days per month (22), Number of subnet associations ()"
My Estimate,US East (N. Virginia),VPC,Network Address Translation (NAT) Gateway,0,342.18,4106.16,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),Database,Amazon Aurora PostgreSQL-Compatible DB,0,4007.25,48087,USD,"Quantity (2), Instance type (db.r4.4xlarge), Pricing strategy (OnDemand), Storage amount (5 TB), Additional backup storage (5 TB)"
,,,,,,,,
Note on changes: ,,,,,,,,
,"After monitoring the solution architecture for cost optimization, we found that we can scale down App Servers from (m6gd.16xlarge) to (t4g.2xlarge) instance type",,,,,,,
,"In addition,  database instances were optimized from (db.r4.4xlarge) to  as (db.r4.4xlarge) was over-provisioned capacity well above the actual demand",,,,,,,
,Further budget reductions are possible with switching to database reserved isntances and  EC2 savings plans / reserved instances ,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
